questionID,Category,Gender,Question,Answer,correctAnswer,explanation,,,,
1,alcohol,,"After a heavy drinking session, you should avoid alcohol for:",12 hours; 24 hours; 48 hours; 72 hours,2,,,,,alcohol
2,alcohol,m,Men should not regularly drink more than:,1-2 units; 2-3 units; 3-4 units; 4-5 units,2,,,,,fitness
3,alcohol,f,Women should not regularly drink more than:,1-2 units; 2-3 units; 3-4 units; 4-5 units,1,,,,,food
4,alcohol,m,"When men drink more than the RDA of alcohol, their chance of developing mouth, neck and throat cancer increases by:",0; 0.1-1.2; 1.2-1.7;1.8-2.5;,3,,,,,weight
5,alcohol,f,"Women who drink more than the RDA of alcohol, are 1.2 times more likely to develop:",Breast Cancer; Liver Cirrhosis; Stomach Cancer,0,,,,,sleep
6,alcohol,m,"Drinking more than 8 units a day (as a male) increases the chance of mouth, neck and throat cancer by:",0 times; 1-2 times; 3-5 times; 6-10 times,2,,,,,smoking
7,alcohol,f,"Drinking more than 8 units a day (as a female) increases the chance of mouth, neck and throat cancer by:",0 times; 1-2 times; 3-5 times; 6-10 times,2,,,,,
8,alcohol,m,Drinking more than 8 units a day (as a male) increases the chance of developing liver cirrhosis:,0 times; 1-2 times; 3-10 times; 11-16 times,2,,,,,
9,alcohol,f,Drinking more than 8 units a day (as a female) increases the chance of developing liver cirrhosis:,0 times; 1-2 times; 3-10 times; 11-16 times,2,,,,,
10,alcohol,m,Drinking more than 8 units a day (as a male) your chance of an irregular heartbeat is:,2 times as likely; 3 times as likely; 4 times as likely,0,,,,,
11,alcohol,f,Drinking more than 8 units a day (as a female) your chance of an irregular heartbeat is:,2 times as likely; 3 times as likely; 4 times as likely,0,,,,,
12,alcohol,,What affect does alcohol have on your sleep?,You fall asleep faster and feel more well rested; It takes longer to fall asleep and you feel less rested; You fall asleep faster but do not sleep as deeply,2,"Drinking can affect your sleep. Although it can help some people fall asleep quickly, it can disrupt your sleep patterns and stop you from sleeping deeply. So cutting down on alcohol should help you feel more rested when you wake up. ",,,,
13,alcohol,,What affect does alcohol have on your immune system?,Weakens it; Strengthens it; Has no effect,0,Regular drinking can affect your immune system. Heavy drinkers tend to catch more infectious diseases. ,,,,
14,alcohol,,How many people on average die each year from alcohol-related incidents?,"1,000; 5,000; 10,000; 15,000; 20,000",3,"About 15,000 people in England die from alcohol-related causes each year. About 32% of these deaths are from liver disease, 21% from cancer and 17% from cardiovascular illnesses, such as heart disease and strokes. ",,,,
15,alcohol,,One unit of alcohol is equal to how many ml of pure alcohol:,5ml; 10ml; 12ml; 15ml; 20ml,1,"Units are a simple way of expressing the quantity of pure alcohol in a drink. 10ml is the which is around the amount of alcohol the average adult can process in an hour. This means that within an hour there should be, in theory, little or no alcohol left in the blood of an adult, although this will vary from person to person.
",,,,
16,alcohol,,,,,,,,,
17,alcohol,,"A bottle of red, white and rose wine with a 13.5% ABV, contains:",10 units; 12 units; 14 units; 16 units,0,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,fitness,,If you do regular exercise your risk of coronary heart disease and stroke is reduced by:,15%; 25%; 35%; 45%,2,,,,,
27,fitness,,If you do regular exercise your risk of type 2 diabetes is reduced by:,30%; 40%; 50%; 60%,2,,,,,
28,fitness,,If you do regular exercise your risk of colon cancer is reduced by:,20%; 30%; 40%; 50%;,3,,,,,
29,fitness,,If you do regular exercise your risk of breast cancer is reduced by:,10%; 20%; 30%; 40%,1,,,,,
30,fitness,,If you do regular exercise your risk of depression is reduced by:,10%; 20%; 30%; 40%,2,,,,,
31,fitness,,As an adult you should do how many minutes of exercise?,60 minutes a day; 60 minutes a week; 150 minutes a week; 300 minutes a week,2,,,,,
32,fitness,,"Even if you hit your weekly activity target, why could you still be at risk of heart disease or stroke?",Putting too much strain on your heart from vigourous exercise; Having a sedantry lifestyle; Doing the wrong type of exercise,0,"Evidence is emerging that sedentary behaviour, such as sitting or lying down for long periods, is bad for your health. Common examples of sedentary behaviour include watching TV, using a computer, using the car for short journeys and sitting down to read, talk or listen to music _ and such behaviour is thought to increase your risk of many chronic diseases, such as heart disease, stroke and diabetes, as well as weight gain and obesity.",,,,
33,fitness,,How many steps should you aim to walk in a day?,"8,000; 10,000; 12,000; 15,000",1,"Try to fit walking into your routine by ditching the car for short journeys, walking all or part of your journey to work, getting off the bus or train one stop early and planning longer walks at the weekends. To reap the health benefits, aim to walk 10,000 steps a day, which can burn up to 400 calories. To keep track of your walking, use a pedometer. ",,,,
