questionID,Category,Gender,Question,Answer,correctAnswer,explanation
1,alcohol,,"After a heavy drinking session, you should avoid alcohol for:",12 hours; 24 hours; 48 hours; 72 hours,2,"And it's certainly not only people who get drunk or binge drink who are at risk. Most people who regularly drink more than the NHS recommends don't see any harmful effects at first. Alcohol's hidden harms usually only emerge after a number of years. And by then, serious health problems can have developed. "
2,alcohol,m,Men should not regularly drink more than:,1-2 units; 2-3 units; 3-4 units; 4-5 units,2,"Lower-risk drinking means that you have a low risk of causing yourself future harm. However, drinking consistently within these limits is called ""lower-risk"" rather than ""safe"" because drinking alcohol is never completely safe. "
3,alcohol,f,Women should not regularly drink more than:,1-2 units; 2-3 units; 3-4 units; 4-5 units,1,"Lower-risk drinking means that you have a low risk of causing yourself future harm. However, drinking consistently within these limits is called ""lower-risk"" rather than ""safe"" because drinking alcohol is never completely safe. "
4,alcohol,m,"When men drink more than the RDA of alcohol, their chance of developing mouth, neck and throat cancer increases by:",0; 0.1-1.2; 1.2-1.7;1.8-2.5,3,"If you're an increasing-risk drinker and you drink substantially more than the lower-risk limits, your risks will be even higher than those above. At these levels of drinking, you may already have alcohol-related problems, such as fatigue or depression, weight gain, poor sleep and sexual problems. "
5,alcohol,f,"Women who drink more than the RDA of alcohol, are 1.2 times more likely to develop:",Breast Cancer; Liver Cirrhosis; Stomach Cancer,0,"If you're an increasing-risk drinker and you drink substantially more than the lower-risk limits, your risks will be even higher than those above. At these levels of drinking, you may already have alcohol-related problems, such as fatigue or depression, weight gain, poor sleep and sexual problems. "
6,alcohol,m,"Drinking more than 8 units a day (as a male) increases the chance of mouth, neck and throat cancer by:",0 times; 1-2 times; 3-5 times; 6-10 times,2,"The more you drink above the higher-risk threshold, the greater the risks. So some of the health risks can be even higher than those above. You're likely to have the same problems as increasing-risk drinkers: feeling tired or depressed, or gaining extra weight. You may be sleeping poorly or having sexual problems. And, like increasing-risk drinkers but possibly more so, you Ore likely to be in worse physical shape than you would be otherwise, whatever your age or sex. You could also have high blood pressure. "
7,alcohol,f,"Drinking more than 8 units a day (as a female) increases the chance of mouth, neck and throat cancer by:",0 times; 1-2 times; 3-5 times; 6-10 times,2,"The more you drink above the higher-risk threshold, the greater the risks. So some of the health risks can be even higher than those above. You're likely to have the same problems as increasing-risk drinkers: feeling tired or depressed, or gaining extra weight. You may be sleeping poorly or having sexual problems. And, like increasing-risk drinkers but possibly more so, you Ore likely to be in worse physical shape than you would be otherwise, whatever your age or sex. You could also have high blood pressure. "
8,alcohol,m,Drinking more than 8 units a day (as a male) increases the chance of developing liver cirrhosis:,0 times; 1-2 times; 3-10 times; 11-16 times,2,"The more you drink above the higher-risk threshold, the greater the risks. So some of the health risks can be even higher than those above. You're likely to have the same problems as increasing-risk drinkers: feeling tired or depressed, or gaining extra weight. You may be sleeping poorly or having sexual problems. And, like increasing-risk drinkers but possibly more so, you Ore likely to be in worse physical shape than you would be otherwise, whatever your age or sex. You could also have high blood pressure. "
9,alcohol,f,Drinking more than 8 units a day (as a female) increases the chance of developing liver cirrhosis:,0 times; 1-2 times; 3-10 times; 11-16 times,2,"The more you drink above the higher-risk threshold, the greater the risks. So some of the health risks can be even higher than those above. You're likely to have the same problems as increasing-risk drinkers: feeling tired or depressed, or gaining extra weight. You may be sleeping poorly or having sexual problems. And, like increasing-risk drinkers but possibly more so, you Ore likely to be in worse physical shape than you would be otherwise, whatever your age or sex. You could also have high blood pressure. "
10,alcohol,m,Drinking more than 8 units a day (as a male) your chance of an irregular heartbeat is:,2 times as likely; 3 times as likely; 4 times as likely,0,"The more you drink above the higher-risk threshold, the greater the risks. So some of the health risks can be even higher than those above. You're likely to have the same problems as increasing-risk drinkers: feeling tired or depressed, or gaining extra weight. You may be sleeping poorly or having sexual problems. And, like increasing-risk drinkers but possibly more so, you're likely to be in worse physical shape than you would be otherwise, whatever your age or sex. You could also have high blood pressure. "
